player_name,Pos,salary,FG_per_game,x3P_game,x2P_game,FT_per_game,ORB_per_game,DRB_per_game,TRB_per_game,AST_per_game,STL_per_game,BLK_per_game,TOV_per_game,player_poss,exp_points
Frank Jackson,PG,1378242,38.73003029160871,10.58088456420238,28.14914572740633,10.780523895602425,4.990983285001123,21.760687122604896,26.751670407606017,13.775113866603098,4.990983285001123,0.39927866280008983,9.582687907202155,502.12,106.81162131673337
Fred VanVleet,PG,8653847,34.65395399988375,15.777409951166584,18.87654404871716,13.664363975563916,2.958264365843734,20.566980829199295,23.52524519504303,43.24700763400126,8.029574707290136,2.81739463413689,11.551317999961249,711.6,103.2253904836752
Garrett Temple,SG,8000000,35.82071781400982,15.499349054138863,20.321368759870953,13.777199159234545,4.822019705732091,32.37641802420118,37.19843772993327,18.25478888598577,13.088339201272817,5.166449684712954,12.055049264330227,582.08,104.40343481230362
Gary Harris,SG,16517857,37.210711741502756,11.301030973345283,25.909680768157475,15.849006852862287,5.650515486672641,16.400276656440106,22.050792143112744,17.502816263595744,7.579959799195007,2.6185315669946387,9.371586660822917,727.36,103.80545877203944
George Hill,PG,19000000,40.059457414293355,11.3109056228593,28.748551791434053,16.495070700003147,9.190110818573181,25.68518151857633,34.87529233714951,31.81192206429178,12.253481091430908,1.8851509371432167,12.017837224288007,425.4,112.27942806875048
Gerald Green,SG,1512601,36.586156465395966,24.707534236371306,11.878622229024666,9.027752894058745,4.751448891609866,24.074007717489987,28.825456609099856,6.335265188813155,5.226593780770853,4.27630400244888,8.710989634618088,632.92,113.13392729990166
Giannis Antetokounmpo,PF,24157304,43.5959632295926,3.144230357751477,40.451732871841124,30.23298420914882,9.614088978509324,44.684350661121954,54.29843963963128,25.6375706093582,5.562869094483383,6.65125652601274,16.204879536103768,1657.84,114.09784182610551
Goran Dragic,PG,18109175,33.95556599383791,10.812666266194196,23.142899727643716,14.985976053146342,3.7939179881383143,17.262326846029328,21.056244834167643,33.00708649680333,5.690876982207471,0.9484794970345786,13.468408857891015,528.44,96.40376937081537
Gordon Hayward,PF,31214295,38.47098164148792,10.007654008089762,28.46332763339816,20.275247081324714,6.6284461612023104,35.221743327173066,41.85018948837537,31.712565947713017,8.058111019500847,2.9892992491696693,13.646800920122404,771.28,107.3804666459364
Harrison Barnes,PF-SF,24107258,36.29670203524811,14.653424951585084,21.643277083663026,19.285254677660827,4.800259897933045,25.60138612230957,30.401646020242616,9.68473488179474,4.210754296432495,1.0947961170724487,8.253078421007691,1190.32,104.05541564075413
Hassan Whiteside,C,24434262,62.04020548083509,0.319794873612552,61.72041060722254,17.428820611884085,41.09364125921293,89.54256461151456,130.6362058707275,8.954256461151456,7.355282093088696,21.746051405653535,15.510051370208773,626.92,158.27519903645972
Ian Clark,SG,1757429,34.070131591499,14.891580695622078,19.17855089587692,7.445790347811039,2.93319013701647,17.147880801019365,20.081070938035833,21.209220990734476,4.963860231874026,1.8050400843178278,13.086540611304251,444.28,99.3042354157246
Iman Shumpert,SG,11011234,34.248290672652665,19.482560562287443,14.765730110365219,7.382865055182609,5.537148791386957,31.992415239124643,37.5295640305116,22.968913505012562,12.099695507104833,4.9219100367884066,10.25397924330918,488.8,104.27287014578845
